timestamp,signal,rx_rate,tx_rate
1767448466.4981754,-42,144.4,130.0
1767448466.7000926,-42,144.4,130.0
1767448466.9022331,-45,144.4,130.0
1767448467.1038783,-44,144.4,130.0
1767448467.3058486,-46,144.4,130.0
1767448467.5077717,-43,144.4,130.0
1767448467.7097545,-41,144.4,130.0
1767448467.9125733,-44,144.4,130.0
1767448468.114602,-43,144.4,130.0
1767448468.3168082,-42,144.4,130.0
1767448468.5187495,-50,144.4,130.0
1767448468.7205844,-43,144.4,130.0
1767448468.9224803,-46,144.4,130.0
1767448469.124369,-46,144.4,130.0
1767448469.3263097,-46,144.4,130.0
1767448469.528576,-45,144.4,130.0
1767448469.7309139,-42,144.4,130.0
1767448469.9328568,-46,144.4,130.0
1767448470.1351035,-44,130.0,130.0
1767448470.3370233,-46,130.0,130.0
1767448470.5389564,-46,130.0,130.0
1767448470.7410076,-46,130.0,130.0
1767448470.9430182,-43,130.0,130.0
1767448471.1448364,-45,130.0,130.0
1767448471.3470778,-44,130.0,130.0
1767448471.549179,-45,130.0,130.0
1767448471.7511609,-44,144.4,130.0
1767448471.9531186,-50,144.4,130.0
1767448472.1549873,-51,144.4,130.0
1767448472.3568475,-46,144.4,130.0
1767448472.5592482,-43,144.4,130.0
1767448472.76122,-45,144.4,130.0
1767448472.963154,-45,144.4,130.0
1767448473.1651464,-44,144.4,130.0
1767448473.3672664,-46,144.4,130.0
1767448473.5691526,-42,144.4,130.0
1767448473.7709382,-46,144.4,130.0
1767448473.9727454,-45,144.4,130.0
1767448474.1747246,-45,144.4,130.0
1767448474.376873,-45,144.4,130.0
1767448474.579365,-46,144.4,130.0
1767448474.783692,-45,144.4,130.0
1767448474.9856615,-44,144.4,130.0
1767448475.188204,-44,144.4,130.0
1767448475.3901389,-42,144.4,130.0
1767448475.5922794,-51,144.4,130.0
1767448475.7941933,-42,144.4,130.0
1767448475.9962447,-43,144.4,130.0
1767448476.1982982,-50,144.4,130.0
1767448476.4008079,-44,144.4,130.0
1767448476.6029174,-42,144.4,130.0
1767448476.804738,-42,144.4,130.0
1767448477.006442,-41,144.4,130.0
1767448477.2083902,-42,144.4,130.0
1767448477.4103637,-46,144.4,130.0
1767448477.6123772,-42,144.4,130.0
1767448477.8141544,-42,144.4,130.0
1767448478.0163488,-42,144.4,130.0
1767448478.2181756,-42,144.4,130.0
1767448478.4204419,-42,144.4,130.0
1767448478.6224084,-42,144.4,130.0
1767448478.824309,-42,144.4,130.0
1767448479.0261617,-42,144.4,130.0
1767448479.228022,-42,130.0,130.0
1767448479.429913,-43,130.0,130.0
1767448479.6318197,-42,117.0,130.0
1767448479.8344827,-42,144.4,130.0
1767448480.0364363,-42,144.4,144.4
1767448480.2387357,-41,144.4,144.4
1767448480.4406765,-42,144.4,144.4
1767448480.6426616,-41,144.4,144.4
1767448480.844788,-46,144.4,144.4
1767448481.0466127,-50,144.4,144.4
