start_time,mean,variance,range,mean_abs_diff
1767371720.1018243,-44.2,0.5599999999999999,2,0.8888888888888888
1767371722.1218095,-44.2,1.1599999999999997,3,1.3333333333333333
1767371724.1419735,-45.2,0.36,2,0.6666666666666666
1767371726.1614275,-44.4,1.0399999999999998,3,1.1111111111111112
1767371728.1823418,-43.6,4.24,8,2.111111111111111
1767371730.202069,-43.2,0.7599999999999999,3,0.8888888888888888
1767371732.221123,-47.3,7.010000000000001,10,2.0
1767371734.2423232,-47.3,1.21,4,1.2222222222222223
1767371736.262512,-47.0,1.4,4,1.0
1767371738.281592,-46.8,0.36,2,0.5555555555555556
1767371740.3011174,-47.2,1.1599999999999997,4,1.4444444444444444
1767371742.3203783,-48.8,3.9599999999999995,6,2.0
1767371744.3396418,-46.6,0.8399999999999999,3,1.1111111111111112
